source,meta_program,gene_marker
Endothelial,Coagulation,FAM167B
Endothelial,Coagulation,HTRA1
Endothelial,Coagulation,S100A10
Endothelial,Coagulation,SNCG
Endothelial,Coagulation,TFF3
Endothelial,Coagulation,VCAM1
Endothelial,Coagulation,ACTN1
Endothelial,Coagulation,ADIRF
Endothelial,Coagulation,AHNAK
Endothelial,Coagulation,ANAPC16
Endothelial,Coagulation,BGN
Endothelial,Coagulation,CALM3
Endothelial,Coagulation,CCL14
Endothelial,Coagulation,CLU
Endothelial,Coagulation,CYR61
Endothelial,Coagulation,EFEMP1
Endothelial,Coagulation,LDB2
Endothelial,Coagulation,MEF2C
Endothelial,Coagulation,MIF
Endothelial,Coagulation,MPZL2
Endothelial,Coagulation,MRPL20
Endothelial,Coagulation,NFIB
Endothelial,Coagulation,NRP2
Endothelial,Coagulation,PRCP
Endothelial,Coagulation,PRDX5
Endothelial,Coagulation,QSOX1
Endothelial,Coagulation,RBP5
Endothelial,Coagulation,RGCC
Endothelial,Coagulation,SPARCL1
Endothelial,Coagulation,TM4SF18
Endothelial,Coagulation,TSPO
Endothelial,Coagulation,VWF
Endothelial,Coagulation,FXYD5
Endothelial,Coagulation,NUPR1
Endothelial,Coagulation,S100A4
Endothelial,Coagulation,ARL4A
Endothelial,Coagulation,CST3
Endothelial,Coagulation,RPS27L
Endothelial,Coagulation,DDIT4
Endothelial,Coagulation,DAD1
Endothelial,Coagulation,LGALS1
Endothelial,Endo1,INSR
Endothelial,Endo1,RGCC
Endothelial,Endo1,COL4A1
Endothelial,Endo1,FLT1
Endothelial,Endo1,ESM1
Endothelial,Endo1,IGFBP3
Endothelial,Endo1,COL4A2
Endothelial,Endo1,IVNS1ABP
Endothelial,Endo1,ANGPT2
Endothelial,Endo1,KDR
Endothelial,Endo1,STC1
Endothelial,Endo1,NOTCH4
Endothelial,Endo1,CA2
Endothelial,Endo1,PLVAP
Endothelial,Endo1,VWA1
Endothelial,Endo1,COL15A1
Endothelial,Endo1,PODXL
Endothelial,Endo1,MCAM
Endothelial,Endo1,TIMP3
Endothelial,Endo1,TM4SF18
Endothelial,Endo1,GRB10
Endothelial,Endo1,ITGA1
Endothelial,Endo1,LBH
Endothelial,Endo1,EDNRB
Endothelial,Endo1,FCN3
Endothelial,Endo1,TP53I11
Endothelial,Endo1,SPARC
Endothelial,Endo1,CXCR4
Endothelial,Endo1,GJA1
Endothelial,Endo1,MYO1B
Endothelial,Endo1,MIR4435-2HG
Endothelial,Endo1,MLEC
Endothelial,Endo1,PLPP3
Endothelial,Endo1,TNFRSF4
Endothelial,Endo1,ANGPTL2
Endothelial,Endo1,PTP4A3
Endothelial,Endo1,HSPG2
Endothelial,Endo1,HECW2
Endothelial,Endo1,PDGFD
Endothelial,Endo1,PXDN
Endothelial,Endo1,ADGRF5
Endothelial,Endo1,LAMA4
Endothelial,Endo1,MMP2
Endothelial,Endo1,SLC9A3R2
Endothelial,Endo1,SPRY4
Endothelial,Endo1,CDH13
Endothelial,Endo1,ACE
Endothelial,Endo1,HTRA1
Endothelial,Endo1,UNC5B
Endothelial,Endo1,NID1
Endothelial,Endo2,TFF3
Endothelial,Endo2,CCL21
Endothelial,Endo2,MMRN1
Endothelial,Endo2,FABP4
Endothelial,Endo2,FABP5
Endothelial,Endo2,GYPC
Endothelial,Endo2,LAPTM5
Endothelial,Endo2,PDPN
Endothelial,Endo2,TFPI
Endothelial,Endo2,PROX1
Endothelial,Endo2,EFEMP1
Endothelial,Endo2,AKAP12
Endothelial,Endo2,PPFIBP1
Endothelial,Endo2,LYVE1
Endothelial,Endo2,RBP1
Endothelial,Endo2,NRP2
Endothelial,Endo2,FXYD6
Endothelial,Endo2,FLT4
Endothelial,Endo2,MAF
Endothelial,Endo2,PPP1R2
Endothelial,Endo2,ADD3
Endothelial,Endo2,APOD
Endothelial,Endo2,CD9
Endothelial,Endo2,CLDN5
Endothelial,Endo2,NR2F2
Endothelial,Endo2,FN1
Endothelial,Endo2,NTS
Endothelial,Endo2,STMN1
Endothelial,Endo2,TSTA3
Endothelial,Endo2,IGFBP5
Endothelial,Endo2,ADIRF
Endothelial,Endo2,ANGPT2
Endothelial,Endo2,ARL4A
Endothelial,Endo2,IGF1
Endothelial,Endo2,RGS16
Endothelial,Endo2,TSPAN5
Endothelial,Endo2,LIMS1
Endothelial,Endo2,MFAP2
Endothelial,Endo2,PTPRE
Endothelial,Endo2,SNCG
Endothelial,Endo2,CLU
Endothelial,Endo2,SEMA3A
Endothelial,Endo2,MRC1
Endothelial,Endo2,RARRES2
Endothelial,Endo2,RELN
Endothelial,Endo2,CCDC80
Endothelial,Endo2,NR2F1
Endothelial,Endo2,TIMP1
Endothelial,Endo2,PARD6G
Endothelial,Endo2,CISD1
Endothelial,Endo3,VWF
Endothelial,Endo3,RGCC
Endothelial,Endo3,RNASE1
Endothelial,Endo3,CLDN5
Endothelial,Endo3,ENG
Endothelial,Endo3,EPAS1
Endothelial,Endo3,CD93
Endothelial,Endo3,FCN3
Endothelial,Endo3,MT1M
Endothelial,Endo3,PTPRB
Endothelial,Endo3,RAMP3
Endothelial,Endo3,SPARCL1
Endothelial,Endo3,TMEM100
Endothelial,Endo3,AQP1
Endothelial,Endo3,HYAL2
Endothelial,Endo3,A2M
Endothelial,Endo3,CA4
Endothelial,Endo3,CALCRL
Endothelial,Endo3,CLEC14A
Endothelial,Endo3,GPX3
Endothelial,Endo3,IFI27
Endothelial,Endo3,MT1X
Endothelial,Endo3,BTNL9
Endothelial,Endo3,EDN1
Endothelial,Endo3,MT1E
Endothelial,Endo3,PECAM1
Endothelial,Endo3,GNG11
Endothelial,Endo3,HSPG2
Endothelial,Endo3,ID1
Endothelial,Endo3,IL7R
Endothelial,Endo3,RAMP2
Endothelial,Endo3,PLVAP
Endothelial,Endo3,CD36
Endothelial,Endo3,EGFL7
Endothelial,Endo3,IGFBP7
Endothelial,Endo3,LIFR
Endothelial,Endo3,MT2A
Endothelial,Endo3,SDPR
Endothelial,Endo3,TNFSF10
Endothelial,Endo3,ESAM
Endothelial,Endo3,FAM107A
Endothelial,Endo3,GIMAP7
Endothelial,Endo3,GPIHBP1
Endothelial,Endo3,IFNGR1
Endothelial,Endo3,NOTCH4
Endothelial,Endo3,SPARC
Endothelial,Endo3,TM4SF1
Endothelial,Endo3,SLC6A4
Endothelial,Endo3,C8ORF4
Endothelial,Endo3,MGP
Endothelial,Endo4,CRHBP
Endothelial,Endo4,EMCN
Endothelial,Endo4,FCN3
Endothelial,Endo4,IGFBP5
Endothelial,Endo4,PLAT
Endothelial,Endo4,SOST
Endothelial,Endo4,PLPP3
Endothelial,Endo4,EHD3
Endothelial,Endo4,MGP
Endothelial,Endo4,TGFBR2
Endothelial,Endo4,MEG3
Endothelial,Endo4,NTN4
Endothelial,Endo4,SYNE1
Endothelial,Endo4,TSPAN7
Endothelial,Endo4,KDR
Endothelial,Endo4,PRX
Endothelial,Endo4,F8
Endothelial,Endo4,SLC14A1
Endothelial,Endo4,HECW2
Endothelial,Endo4,LDB2
Endothelial,Endo4,TMEM204
Endothelial,Endo4,AQP1
Endothelial,Endo4,CMTM8
Endothelial,Endo4,ITGA8
Endothelial,Endo4,ARRDC2
Endothelial,Endo4,BTNL9
Endothelial,Endo4,FLT1
Endothelial,Endo4,LGALS3BP
Endothelial,Endo4,NOSTRIN
Endothelial,Endo4,NRP1
Endothelial,Endo4,SGK1
Endothelial,Endo4,COL4A1
Endothelial,Endo4,GMFG
Endothelial,Endo4,EFNB1
Endothelial,Endo4,ESM1
Endothelial,Endo4,LINC00551
Endothelial,Endo4,PLPP1
Endothelial,Endo4,S100A4
Endothelial,Endo4,TBX3
Endothelial,Endo4,ADGRF5
Endothelial,Endo4,ARHGDIB
Endothelial,Endo4,CEBPB
Endothelial,Endo4,GJA5
Endothelial,Endo4,ID2
Endothelial,Endo4,IL1RL1
Endothelial,Endo4,RBMS1
Endothelial,Endo4,SLC44A1
Endothelial,Endo4,FGL2
Endothelial,Endo4,IL13RA2
Endothelial,Endo4,POMP
Endothelial,Endo5,PGF
Endothelial,Endo5,CTHRC1
Endothelial,Endo5,PXDN
Endothelial,Endo5,IL32
Endothelial,Endo5,LXN
Endothelial,Endo5,ADM
Endothelial,Endo5,APOD
Endothelial,Endo5,LGALS1
Endothelial,Endo5,LOX
Endothelial,Endo5,TP53I11
Endothelial,Endo5,CLDN5
Endothelial,Endo5,GYPC
Endothelial,Endo5,CHST15
Endothelial,Endo5,CYTL1
Endothelial,Endo5,HOMER3
Endothelial,Endo5,MCAM
Endothelial,Endo5,NID2
Endothelial,Endo5,WFS1
Endothelial,Endo5,CHST1
Endothelial,Endo5,CXCR4
Endothelial,Endo5,GPIHBP1
Endothelial,Endo5,LY6H
Endothelial,Endo5,TNFAIP8L1
Endothelial,Endo5,TNFRSF4
Endothelial,Endo5,TSPAN15
Endothelial,Endo5,FABP5
Endothelial,Endo5,IGF2
Endothelial,Endo5,LAMA4
Endothelial,Endo5,RGCC
Endothelial,Endo5,RGS3
Endothelial,Endo5,EIF4EBP1
Endothelial,Endo5,FSCN1
Endothelial,Endo5,MGLL
Endothelial,Endo5,MMP2
Endothelial,Endo5,SLC38A1
Endothelial,Endo5,C10ORF10
Endothelial,Endo5,COL4A1
Endothelial,Endo5,COTL1
Endothelial,Endo5,EFCAB14
Endothelial,Endo5,ESM1
Endothelial,Endo5,GMFG
Endothelial,Endo5,JUP
Endothelial,Endo5,PDGFB
Endothelial,Endo5,RND3
Endothelial,Endo5,SLC4A7
Endothelial,Endo5,SMTN
Endothelial,Endo5,COL12A1
Endothelial,Endo5,SMAD1
Endothelial,Endo5,PCDH12
Endothelial,Endo5,MARCKS
Endothelial,Endo6,IGFBP5
Endothelial,Endo6,APLNR
Endothelial,Endo6,NR2F2
Endothelial,Endo6,SLCO2A1
Endothelial,Endo6,PRCP
Endothelial,Endo6,ADAMTS1
Endothelial,Endo6,HEG1
Endothelial,Endo6,MALL
Endothelial,Endo6,SELP
Endothelial,Endo6,SELE
Endothelial,Endo6,TGM2
Endothelial,Endo6,VCAN
Endothelial,Endo6,SLC6A6
Endothelial,Endo6,STC1
Endothelial,Endo6,TNXB
Endothelial,Endo6,ACKR1
Endothelial,Endo6,ADAM15
Endothelial,Endo6,EMP3
Endothelial,Endo6,NDRG1
Endothelial,Endo6,NOS3
Endothelial,Endo6,RAMP3
Endothelial,Endo6,THBD
Endothelial,Endo6,ADAMTS6
Endothelial,Endo6,ADIRF
Endothelial,Endo6,DUSP23
Endothelial,Endo6,FN1
Endothelial,Endo6,MARCKS
Endothelial,Endo6,PGM5
Endothelial,Endo6,PTGDS
Endothelial,Endo6,VCAM1
Endothelial,Endo6,VEGFC
Endothelial,Endo6,EHBP1L1
Endothelial,Endo6,EPHB4
Endothelial,Endo6,FBLN2
Endothelial,Endo6,HYAL2
Endothelial,Endo6,ITGA6
Endothelial,Endo6,SEMA3F
Endothelial,Endo6,TEK
Endothelial,Endo6,APOL1
Endothelial,Endo6,CALCRL
Endothelial,Endo6,ENTPD1
Endothelial,Endo6,PLEC
Endothelial,Endo6,SPTAN1
Endothelial,Endo6,TSHZ2
Endothelial,Endo6,PLAC9
Endothelial,Endo6,KLF2
Endothelial,Endo6,PCDH12
Endothelial,Endo6,VWF
Endothelial,Endo6,CRIP1
Endothelial,Endo6,PCDH17
Endothelial,Endo7,HPGD
Endothelial,Endo7,S100A4
Endothelial,Endo7,CA4
Endothelial,Endo7,EDNRB
Endothelial,Endo7,LGALS1
Endothelial,Endo7,ADIRF
Endothelial,Endo7,IL1RL1
Endothelial,Endo7,TUBA1A
Endothelial,Endo7,EMCN
Endothelial,Endo7,FRY
Endothelial,Endo7,IL32
Endothelial,Endo7,SOSTDC1
Endothelial,Endo7,ICAM2
Endothelial,Endo7,PRX
Endothelial,Endo7,ACE
Endothelial,Endo7,DNAJC1
Endothelial,Endo7,EMP2
Endothelial,Endo7,HLA-DQA1
Endothelial,Endo7,S100A3
Endothelial,Endo7,SERPINB1
Endothelial,Endo7,SGK1
Endothelial,Endo7,TMEM204
Endothelial,Endo7,APP
Endothelial,Endo7,CAV2
Endothelial,Endo7,FENDRR
Endothelial,Endo7,SLC14A1
Endothelial,Endo7,SLC9A3R2
Endothelial,Endo7,CYP3A5
Endothelial,Endo7,TSPAN12
Endothelial,Endo7,CARD16
Endothelial,Endo7,CD82
Endothelial,Endo7,CNN3
Endothelial,Endo7,MARCKS
Endothelial,Endo7,MYLK
Endothelial,Endo7,SERPINB6
Endothelial,Endo7,SERPINE1
Endothelial,Endo7,TMEM100
Endothelial,Endo7,ITM2A
Endothelial,Endo7,SPARCL1
Endothelial,Endo7,TSPAN15
Endothelial,Endo7,ANXA3
Endothelial,Endo7,HLA-DMA
Endothelial,Endo7,ANXA1
Endothelial,Endo7,RPN1
Endothelial,Endo7,C10ORF10
Endothelial,Endo7,HLA-DQB1
Endothelial,Endo7,SPARC
Endothelial,Endo7,TYMP
Endothelial,Endo7,GNG11
Endothelial,Endo7,CAPZA2
Endothelial,Endo8,RGCC
Endothelial,Endo8,ID2
Endothelial,Endo8,SGK1
Endothelial,Endo8,TM4SF18
Endothelial,Endo8,TMEM88
Endothelial,Endo8,RBP7
Endothelial,Endo8,CD36
Endothelial,Endo8,F2RL3
Endothelial,Endo8,MT1M
Endothelial,Endo8,MT1X
Endothelial,Endo8,MT1E
Endothelial,Endo8,RAMP3
Endothelial,Endo8,TMEM204
Endothelial,Endo8,BTNL9
Endothelial,Endo8,CA4
Endothelial,Endo8,DHRS3
Endothelial,Endo8,DNASE1L3
Endothelial,Endo8,FAM167B
Endothelial,Endo8,FCN3
Endothelial,Endo8,HES1
Endothelial,Endo8,MT2A
Endothelial,Endo8,NOSTRIN
Endothelial,Endo8,PLPP3
Endothelial,Endo8,SLC9A3R2
Endothelial,Endo8,STC1
Endothelial,Endo8,ATOH8
Endothelial,Endo8,CARHSP1
Endothelial,Endo8,CD320
Endothelial,Endo8,CDC42EP4
Endothelial,Endo8,COL15A1
Endothelial,Endo8,DDIT4
Endothelial,Endo8,EDNRB
Endothelial,Endo8,ITM2A
Endothelial,Endo8,NQO1
Endothelial,Endo8,OSBPL1A
Endothelial,Endo8,SELENOP
Endothelial,Endo8,SPP1
Endothelial,Endo8,GAS6
Endothelial,Endo8,FXYD6
Endothelial,Endo8,VWA1
Endothelial,Endo8,GYPC
Endothelial,Endo8,NOTCH4
Endothelial,Endo8,PLPP1
Endothelial,Endo8,HLA-DQA1
Endothelial,Endo8,AKAP12
Endothelial,Endo8,SIPA1L2
Endothelial,Endo8,CTSH
Endothelial,Endo8,TSC22D1
Endothelial,Endo8,NKX2-3
Endothelial,Endo8,MLEC
Endothelial,Interferon,GBP1
Endothelial,Interferon,GBP4
Endothelial,Interferon,IFIT3
Endothelial,Interferon,IFIT1
Endothelial,Interferon,TNFSF10
Endothelial,Interferon,ISG15
Endothelial,Interferon,IFI44L
Endothelial,Interferon,MX2
Endothelial,Interferon,IFI6
Endothelial,Interferon,MX1
Endothelial,Interferon,CXCL11
Endothelial,Interferon,WARS
Endothelial,Interferon,EPSTI1
Endothelial,Interferon,IFI35
Endothelial,Interferon,LY6E
Endothelial,Interferon,UBE2L6
Endothelial,Interferon,BST2
Endothelial,Interferon,ISG20
Endothelial,Interferon,LAP3
Endothelial,Interferon,OAS1
Endothelial,Interferon,OAS2
Endothelial,Interferon,OAS3
Endothelial,Interferon,PARP14
Endothelial,Interferon,RSAD2
Endothelial,Interferon,STAT1
Endothelial,Interferon,APOL6
Endothelial,Interferon,IFI44
Endothelial,Interferon,IFIT2
Endothelial,Interferon,IRF7
Endothelial,Interferon,NT5C3A
Endothelial,Interferon,SAMHD1
Endothelial,Interferon,SERPING1
Endothelial,Interferon,TAP1
Endothelial,Interferon,TRIM22
Endothelial,Interferon,CMPK2
Endothelial,Interferon,EIF2AK2
Endothelial,Interferon,GBP2
Endothelial,Interferon,MT2A
Endothelial,Interferon,RARRES3
Endothelial,Interferon,SAMD9
Endothelial,Interferon,SAMD9L
Endothelial,Interferon,APOL2
Endothelial,Interferon,CXCL10
Endothelial,Interferon,HAPLN3
Endothelial,Interferon,IRF1
Endothelial,Interferon,XAF1
Endothelial,Interferon,DDX58
Endothelial,Interferon,TAP2
Endothelial,Interferon,USP18
Endothelial,Interferon,PPM1K
Endothelial,MHC-II/Secreted,ACKR1
Endothelial,MHC-II/Secreted,CLU
Endothelial,MHC-II/Secreted,SELP
Endothelial,MHC-II/Secreted,ADIRF
Endothelial,MHC-II/Secreted,DUSP23
Endothelial,MHC-II/Secreted,NNMT
Endothelial,MHC-II/Secreted,PRCP
Endothelial,MHC-II/Secreted,CCL14
Endothelial,MHC-II/Secreted,NR2F2
Endothelial,MHC-II/Secreted,SELE
Endothelial,MHC-II/Secreted,IL33
Endothelial,MHC-II/Secreted,IL1R1
Endothelial,MHC-II/Secreted,HLA-DRA
Endothelial,MHC-II/Secreted,NPC2
Endothelial,MHC-II/Secreted,ZNF385D
Endothelial,MHC-II/Secreted,POSTN
Endothelial,MHC-II/Secreted,CPE
Endothelial,MHC-II/Secreted,ACTN1
Endothelial,MHC-II/Secreted,HLA-DPA1
Endothelial,MHC-II/Secreted,HLA-DPB1
Endothelial,MHC-II/Secreted,PTGDS
Endothelial,MHC-II/Secreted,TSPAN7
Endothelial,MHC-II/Secreted,VCAM1
Endothelial,MHC-II/Secreted,TFPI
Endothelial,MHC-II/Secreted,ARL4A
Endothelial,MHC-II/Secreted,MMRN1
Endothelial,MHC-II/Secreted,NCOA7
Endothelial,MHC-II/Secreted,VWF
Endothelial,MHC-II/Secreted,C7
Endothelial,MHC-II/Secreted,CD74
Endothelial,MHC-II/Secreted,HLA-DQA1
Endothelial,MHC-II/Secreted,IER3
Endothelial,MHC-II/Secreted,HLA-DRB1
Endothelial,MHC-II/Secreted,CCL2
Endothelial,MHC-II/Secreted,HAPLN3
Endothelial,MHC-II/Secreted,ICAM1
Endothelial,MHC-II/Secreted,SNCG
Endothelial,MHC-II/Secreted,SOD2
Endothelial,MHC-II/Secreted,LIFR
Endothelial,MHC-II/Secreted,HLA-DMA
Endothelial,MHC-II/Secreted,SLCO2A1
Endothelial,MHC-II/Secreted,CEBPD
Endothelial,MHC-II/Secreted,HLA-DRB5
Endothelial,MHC-II/Secreted,MGP
Endothelial,MHC-II/Secreted,CXCL2
Endothelial,MHC-II/Secreted,CYP1B1
Endothelial,MHC-II/Secreted,HLA-DQB1
Endothelial,MHC-II/Secreted,PLAT
Endothelial,MHC-II/Secreted,RAMP3
Endothelial,MHC-II/Secreted,FBLN2
Endothelial,NF-kb,SELE
Endothelial,NF-kb,ACKR1
Endothelial,NF-kb,SOD2
Endothelial,NF-kb,AKAP12
Endothelial,NF-kb,CCL2
Endothelial,NF-kb,EMP1
Endothelial,NF-kb,PNP
Endothelial,NF-kb,ICAM1
Endothelial,NF-kb,VCAM1
Endothelial,NF-kb,ADAMTS9
Endothelial,NF-kb,CXCL2
Endothelial,NF-kb,GJA1
Endothelial,NF-kb,HIF1A
Endothelial,NF-kb,IL6
Endothelial,NF-kb,NDRG1
Endothelial,NF-kb,NFKBIA
Endothelial,NF-kb,ABL2
Endothelial,NF-kb,BIRC3
Endothelial,NF-kb,C11ORF96
Endothelial,NF-kb,CSF3
Endothelial,NF-kb,CXCL8
Endothelial,NF-kb,DDX21
Endothelial,NF-kb,LITAF
Endothelial,NF-kb,MYC
Endothelial,NF-kb,NAMPT
Endothelial,NF-kb,NNMT
Endothelial,NF-kb,PMP22
Endothelial,NF-kb,SERPINB1
Endothelial,NF-kb,TIMP1
Endothelial,NF-kb,TNFAIP3
Endothelial,NF-kb,RND1
Endothelial,NF-kb,PLVAP
Endothelial,NF-kb,MT1A
Endothelial,NF-kb,ISG20
Endothelial,NF-kb,CLU
Endothelial,NF-kb,IER3
Endothelial,NF-kb,ARID5A
Endothelial,NF-kb,TMEM70
Endothelial,NF-kb,PTPRE
Endothelial,NF-kb,CDKN1A
Endothelial,NF-kb,UGCG
Endothelial,NF-kb,NCOA7
Endothelial,NF-kb,TUBB6
Endothelial,NF-kb,C2CD4B
Endothelial,NF-kb,LMNA
Endothelial,NF-kb,ADAMTS4
Endothelial,NF-kb,ETS2
Endothelial,NF-kb,POSTN
Endothelial,NF-kb,IGFBP7
Endothelial,NF-kb,THBS1
Endothelial,Notch-signaling,IGFBP3
Endothelial,Notch-signaling,SEMA3G
Endothelial,Notch-signaling,EFNB2
Endothelial,Notch-signaling,ARL15
Endothelial,Notch-signaling,FBLN5
Endothelial,Notch-signaling,GJA4
Endothelial,Notch-signaling,CXCL12
Endothelial,Notch-signaling,GJA5
Endothelial,Notch-signaling,CLDN5
Endothelial,Notch-signaling,HEY1
Endothelial,Notch-signaling,ENPP2
Endothelial,Notch-signaling,KCTD12
Endothelial,Notch-signaling,SRGN
Endothelial,Notch-signaling,SAT1
Endothelial,Notch-signaling,IGF2
Endothelial,Notch-signaling,PPA1
Endothelial,Notch-signaling,MECOM
Endothelial,Notch-signaling,PLPP1
Endothelial,Notch-signaling,SLC9A3R2
Endothelial,Notch-signaling,C10ORF10
Endothelial,Notch-signaling,STC1
Endothelial,Notch-signaling,ADAMTS1
Endothelial,Notch-signaling,LTBP4
Endothelial,Notch-signaling,FN1
Endothelial,Notch-signaling,JAG1
Endothelial,Notch-signaling,EDN1
Endothelial,Notch-signaling,HES4
Endothelial,Notch-signaling,THSD7A
Endothelial,Notch-signaling,S100A4
Endothelial,Notch-signaling,STMN1
Endothelial,Notch-signaling,NUDT4
Endothelial,Notch-signaling,SULF1
Endothelial,Notch-signaling,CXCL2
Endothelial,Notch-signaling,DLL4
Endothelial,Notch-signaling,PLLP
Endothelial,Notch-signaling,ADAMTS6
Endothelial,Notch-signaling,ICAM2
Endothelial,Notch-signaling,SOX17
Endothelial,Notch-signaling,FBLN2
Endothelial,Notch-signaling,JAG2
Endothelial,Notch-signaling,PCSK5
Endothelial,Notch-signaling,VEGFC
Endothelial,Notch-signaling,PPP1R14A
Endothelial,Notch-signaling,RHOB
Endothelial,Notch-signaling,SERPINE2
Endothelial,Notch-signaling,ATP13A3
Endothelial,Notch-signaling,PODXL
Endothelial,Notch-signaling,FAM107A
Endothelial,Notch-signaling,EMP3
Endothelial,Notch-signaling,ALPL
Endothelial,Stress,EGR1
Endothelial,Stress,SOCS3
Endothelial,Stress,CDKN1A
Endothelial,Stress,FOSB
Endothelial,Stress,JUNB
Endothelial,Stress,ZFP36
Endothelial,Stress,GADD45B
Endothelial,Stress,IRF1
Endothelial,Stress,DNAJB1
Endothelial,Stress,PPP1R15A
Endothelial,Stress,FOS
Endothelial,Stress,JUN
Endothelial,Stress,ATF3
Endothelial,Stress,DNAJA1
Endothelial,Stress,ICAM1
Endothelial,Stress,NFKBIZ
Endothelial,Stress,RND1
Endothelial,Stress,IER3
Endothelial,Stress,SERTAD1
Endothelial,Stress,KLF4
Endothelial,Stress,CXCL2
Endothelial,Stress,HSPA1A
Endothelial,Stress,NR4A1
Endothelial,Stress,SLC2A3
Endothelial,Stress,HES1
Endothelial,Stress,HSPH1
Endothelial,Stress,IER2
Endothelial,Stress,MAFF
Endothelial,Stress,BTG2
Endothelial,Stress,CCL2
Endothelial,Stress,HSPA1B
Endothelial,Stress,SOD2
Endothelial,Stress,BAG3
Endothelial,Stress,KDM6B
Endothelial,Stress,NFKBIA
Endothelial,Stress,TNFRSF10D
Endothelial,Stress,CCNL1
Endothelial,Stress,HEXIM1
Endothelial,Stress,ADAMTS1
Endothelial,Stress,JUND
Endothelial,Stress,C11ORF96
Endothelial,Stress,MCL1
Endothelial,Stress,MIDN
Endothelial,Stress,ZC3HAV1
Endothelial,Stress,APOLD1
Endothelial,Stress,CSRNP1
Endothelial,Stress,FOSL2
Endothelial,Stress,BRD2
Endothelial,Stress,BHLHE40
Endothelial,Stress,ARID5A
Epithelial,Alveolar,NAPSA
Epithelial,Alveolar,SFTPA1
Epithelial,Alveolar,SFTPA2
Epithelial,Alveolar,SFTPB
Epithelial,Alveolar,SFTPC
Epithelial,Alveolar,NPC2
Epithelial,Alveolar,SFTPD
Epithelial,Alveolar,CTSH
Epithelial,Alveolar,PGC
Epithelial,Alveolar,SLC34A2
Epithelial,Alveolar,FABP5
Epithelial,Alveolar,SCGB3A2
Epithelial,Alveolar,SERPINA1
Epithelial,Alveolar,C16ORF89
Epithelial,Alveolar,C4BPA
Epithelial,Alveolar,CXCL17
Epithelial,Alveolar,SFTA2
Epithelial,Alveolar,HLA-DPA1
Epithelial,Alveolar,RNASE1
Epithelial,Alveolar,SLPI
Epithelial,Alveolar,HLA-DPB1
Epithelial,Alveolar,ABCA3
Epithelial,Alveolar,C3
Epithelial,Alveolar,LRRK2
Epithelial,Alveolar,CD74
Epithelial,Alveolar,DBI
Epithelial,Alveolar,HLA-DRB1
Epithelial,Alveolar,LPCAT1
Epithelial,Alveolar,NNMT
Epithelial,Alveolar,LAMP3
Epithelial,Alveolar,MUC1
Epithelial,Alveolar,PIGR
Epithelial,Alveolar,SFTA3
Epithelial,Alveolar,HOPX
Epithelial,Alveolar,HLA-DRA
Epithelial,Alveolar,PEBP4
Epithelial,Alveolar,WIF1
Epithelial,Alveolar,C8ORF4
Epithelial,Alveolar,CXCL2
Epithelial,Alveolar,ALPL
Epithelial,Alveolar,SCGB3A1
Epithelial,Alveolar,TFPI
Epithelial,Alveolar,AK1
Epithelial,Alveolar,AQP1
Epithelial,Alveolar,MALL
Epithelial,Alveolar,PLA2G1B
Epithelial,Alveolar,AQP3
Epithelial,Alveolar,CA2
Epithelial,Alveolar,MFSD2A
Epithelial,Alveolar,CYB5A
Epithelial,Androgen-prostate,LRRC26
Epithelial,Androgen-prostate,NKX3-1
Epithelial,Androgen-prostate,RDH11
Epithelial,Androgen-prostate,TMPRSS2
Epithelial,Androgen-prostate,TSPAN8
Epithelial,Androgen-prostate,ACPP
Epithelial,Androgen-prostate,KIAA1324
Epithelial,Androgen-prostate,ADIRF
Epithelial,Androgen-prostate,AGR2
Epithelial,Androgen-prostate,AZGP1
Epithelial,Androgen-prostate,DHRS7
Epithelial,Androgen-prostate,GOLM1
Epithelial,Androgen-prostate,KLK3
Epithelial,Androgen-prostate,SEC11C
Epithelial,Androgen-prostate,SLC44A4
Epithelial,Androgen-prostate,STEAP2
Epithelial,Androgen-prostate,STEAP4
Epithelial,Androgen-prostate,CRACR2B
Epithelial,Androgen-prostate,H2AFJ
Epithelial,Androgen-prostate,KLK2
Epithelial,Androgen-prostate,MSMB
Epithelial,Androgen-prostate,PLA2G2A
Epithelial,Androgen-prostate,PPP1R1B
Epithelial,Androgen-prostate,SLC45A3
Epithelial,Androgen-prostate,SORD
Epithelial,Androgen-prostate,SPDEF
Epithelial,Androgen-prostate,TRGC1
Epithelial,Androgen-prostate,CDC42EP5
Epithelial,Androgen-prostate,CPE
Epithelial,Androgen-prostate,FAM3D
Epithelial,Androgen-prostate,KLK11
Epithelial,Androgen-prostate,LAMP2
Epithelial,Androgen-prostate,NDRG1
Epithelial,Androgen-prostate,NPDC1
Epithelial,Androgen-prostate,NUCB2
Epithelial,Androgen-prostate,PDLIM5
Epithelial,Androgen-prostate,PLPP1
Epithelial,Androgen-prostate,PPP3CA
Epithelial,Androgen-prostate,RAMP1
Epithelial,Androgen-prostate,SCGB2A1
Epithelial,Androgen-prostate,SLC12A2
Epithelial,Androgen-prostate,SLC39A6
Epithelial,Androgen-prostate,SMS
Epithelial,Androgen-prostate,TFF1
Epithelial,Androgen-prostate,TFF3
Epithelial,Androgen-prostate,TSPAN1
Epithelial,Androgen-prostate,VSIG2
Epithelial,Androgen-prostate,WNK4
Epithelial,Androgen-prostate,NOV
